"id","operator_id","operation_id","date","bundle_number","style_id","floor_id","line_id","complete_piece","total_time","break_time","off_standard_time"
365,5802,36360,"2022-04-06",365,8044,24,133,12,4,0,0
367,5802,36360,"2022-04-06",367,8044,24,133,12,3,0,0
369,2845,28968,"2022-04-06",369,8044,24,133,12,8,0,0
370,2845,28968,"2022-04-06",370,8044,24,133,12,5,0,0
371,2845,28968,"2022-04-06",371,8044,24,133,12,5,0,0
372,5802,36360,"2022-04-06",372,8044,24,133,12,6,0,0
375,340,42664,"2022-04-06",375,8044,26,91,20,998,7,0
376,2845,28968,"2022-04-06",376,8044,24,133,12,8,0,0
377,5802,36360,"2022-04-06",377,8044,24,133,12,6,0,0
378,5802,36360,"2022-04-06",378,8044,24,133,12,7,0,0
380,5802,36360,"2022-04-06",380,8044,24,133,12,8,0,0
381,2845,28968,"2022-04-06",381,8044,24,133,12,6,0,0
382,340,42664,"2022-04-06",382,8044,26,91,20,994,14,0
383,5802,36360,"2022-04-06",383,8044,24,133,12,12,0,0
384,2845,28968,"2022-04-06",384,8044,24,133,12,7,0,0
385,2845,28968,"2022-04-06",385,8044,24,133,12,5,0,0
386,5802,36360,"2022-04-06",386,8044,24,133,12,3,0,0
387,5802,36360,"2022-04-06",387,7654,24,133,12,12,0,0
388,5802,36360,"2022-04-06",388,7654,24,133,12,3,0,0
390,5802,36360,"2022-04-06",390,7654,24,133,12,11,0,0
391,340,42664,"2022-04-06",391,7654,26,91,15,724,0,0
392,340,42664,"2022-04-06",392,7654,26,91,20,969,45,0
393,5802,36347,"2022-04-06",393,7654,24,133,12,5,0,0
394,340,42664,"2022-04-06",394,7654,26,91,20,1054,0,0
395,5802,36347,"2022-04-06",395,7654,24,133,12,7,0,0
396,5802,36347,"2022-04-06",396,7654,24,133,12,4,0,0
397,5802,36347,"2022-04-06",397,7654,24,133,9,3,0,0
398,5802,36347,"2022-04-06",398,7654,24,133,12,4,0,0
399,5802,36347,"2022-04-06",399,7654,24,133,12,4,0,0
400,5802,36347,"2022-04-06",400,7654,24,133,12,15,0,0
401,5802,36347,"2022-04-06",401,7654,24,133,12,3,0,0
402,5802,36347,"2022-04-06",402,7654,24,133,12,5,0,0
403,5802,36347,"2022-04-06",403,7654,24,133,12,11,0,0
404,5802,36347,"2022-04-06",404,7654,24,133,12,4,0,0
405,5802,36347,"2022-04-06",405,7654,24,133,12,4,0,0
406,5802,36347,"2022-04-06",406,7654,24,133,12,3,0,0
407,5802,36347,"2022-04-06",407,7654,24,133,12,4,0,0
408,5802,36347,"2022-04-06",408,7654,24,133,12,3,0,0
409,2845,28968,"2022-04-06",409,7654,24,133,12,6,0,0
410,5802,36360,"2022-04-06",410,7654,24,133,12,6,0,0
411,2845,28968,"2022-04-06",411,7654,24,133,12,6,0,0
412,2845,28968,"2022-04-06",412,7654,24,133,12,5,0,0
413,2845,28968,"2022-04-06",413,7654,24,133,12,5,0,0
414,2845,28968,"2022-04-06",414,7654,24,133,12,5,0,0
415,340,42664,"2022-04-06",415,7654,26,91,20,144,0,0
416,2845,28968,"2022-04-06",416,7654,24,133,4,2,0,0
417,340,42664,"2022-04-06",417,7654,26,91,15,8,0,0
418,2845,28968,"2022-04-06",418,8309,24,133,12,4,0,0
419,2845,28968,"2022-04-06",419,8309,24,133,12,6,0,0
420,2845,28968,"2022-04-06",420,8309,24,133,12,5,0,0
423,1053,35470,"2022-04-06",423,8309,24,136,6,8,0,0
424,2845,28968,"2022-04-06",424,8309,24,133,12,7,0,0
425,5802,36360,"2022-04-06",425,8309,24,133,12,4,0,0
426,5802,36360,"2022-04-06",426,8309,24,133,12,4,0,0
427,5802,36360,"2022-04-14",427,8309,24,133,4,2,0,0
428,5802,36360,"2022-04-06",428,8309,24,133,12,4,0,0
429,5802,36360,"2022-04-06",429,8309,24,133,12,3,0,0
430,5802,36360,"2022-04-06",430,8309,24,133,12,3,0,0
431,340,42664,"2022-04-06",431,8309,26,91,20,937,36,0
432,8246,43605,"2022-04-06",432,8309,26,91,20,741,0,0
436,8246,43605,"2022-04-06",436,8044,26,91,20,1085,81,0
437,340,42664,"2022-04-06",437,8044,26,91,20,1021,0,0
442,8246,43605,"2022-04-06",442,8044,26,91,20,782,26,0
443,340,42664,"2022-04-06",443,8044,26,91,20,1259,35,0
444,5939,44012,"2022-04-06",444,8044,24,133,12,8,0,0
445,5939,33112,"2022-04-06",445,8044,24,133,12,7,0,0
446,8246,43605,"2022-04-06",446,8044,26,91,15,549,0,0
447,340,42664,"2022-04-06",447,8044,26,91,15,866,0,0
448,2845,28968,"2022-04-06",448,8044,24,133,12,5,0,0
449,1096,29506,"2022-04-06",449,8044,24,133,12,10,0,0
450,8246,43605,"2022-04-06",450,8044,26,91,20,790,22,0
451,1096,29506,"2022-04-06",451,8044,24,133,12,3,0,0
452,2845,28968,"2022-04-06",452,8044,24,133,12,6,0,0
453,2845,28968,"2022-04-06",453,8044,24,133,12,4,0,0
454,2845,28968,"2022-04-06",454,8044,24,133,4,2,0,0
455,2845,28968,"2022-04-06",455,8044,24,133,9,5,0,0
456,5939,33112,"2022-04-06",456,8044,24,133,4,10,0,0
457,2845,28968,"2022-04-06",457,8044,24,133,12,4,0,0
458,5939,44012,"2022-04-06",458,8044,24,133,4,3,0,0
459,2845,28968,"2022-04-06",459,8044,24,133,12,5,0,0
460,2845,28968,"2022-04-06",460,8044,24,133,12,5,0,0
461,340,42664,"2022-04-06",461,8044,26,91,20,1107,0,0
462,8246,43605,"2022-04-06",462,8044,26,91,20,699,0,0
463,2845,28968,"2022-04-06",463,8044,24,133,12,4,0,0
464,340,42664,"2022-04-06",464,8044,26,91,20,1041,0,0
466,8246,43605,"2022-04-06",466,8044,26,91,20,757,0,0
467,2845,28968,"2022-04-06",467,8044,24,133,12,5,0,0
468,5324,29488,"2022-04-06",468,8044,24,133,9,6,0,0
470,2845,28968,"2022-04-06",470,8044,24,133,12,4,0,0
471,2845,28968,"2022-04-06",471,8044,24,133,12,4,0,0
472,2845,28968,"2022-04-06",472,8044,24,133,12,4,0,0
473,2845,28968,"2022-04-06",473,8044,24,133,12,5,0,0
474,8246,43605,"2022-04-06",474,8044,26,91,15,527,24,0
475,340,42664,"2022-04-06",475,8044,26,91,20,1119,30,0
477,2845,28968,"2022-04-06",477,8691,24,133,4,2,0,0
478,2845,28968,"2022-04-06",478,8691,24,133,12,5,0,0
480,1096,29506,"2022-04-06",480,8691,24,133,9,4,0,0
481,1096,44016,"2022-04-06",481,8691,24,133,12,3,0,0
482,1096,44016,"2022-04-06",482,8691,24,133,12,5,0,0
483,2845,28968,"2022-04-06",483,8691,24,133,12,5,0,0
487,340,42664,"2022-04-06",487,8691,26,91,15,875,0,0
488,8246,43605,"2022-04-06",488,8691,26,91,20,644,0,0
489,2845,28968,"2022-04-06",489,8691,24,133,12,5,0,0
490,2845,28968,"2022-04-06",490,8691,24,133,4,3,0,0
493,340,42664,"2022-04-06",493,8691,26,91,20,7,0,0
494,340,42664,"2022-04-06",494,8691,26,91,20,1360,0,0
496,1096,29506,"2022-04-06",496,8691,24,133,9,3,0,0
498,1096,29506,"2022-04-06",498,8691,24,133,12,6,0,0
500,1096,29506,"2022-04-06",500,8691,24,133,12,17,0,0
501,5324,29488,"2022-04-06",501,8691,24,133,12,7,0,0
508,5324,29488,"2022-04-07",508,8691,24,133,12,7,0,0
509,5324,29488,"2022-04-07",509,8691,24,133,12,9,0,0
512,2845,28968,"2022-04-07",512,8691,24,133,12,6,0,0
513,2845,28968,"2022-04-07",513,8691,24,133,12,6,0,0
515,2845,28968,"2022-04-07",515,8691,24,133,12,6,0,0
516,8246,43605,"2022-04-07",516,8691,26,91,20,705,27,0
517,2845,28968,"2022-04-07",517,8691,24,133,12,5,0,0
518,5324,29488,"2022-04-07",518,8691,24,133,4,4,0,0
519,2845,28968,"2022-04-07",519,8691,24,133,12,6,0,0
521,340,42664,"2022-04-07",521,8691,26,91,15,10,0,0
522,340,42664,"2022-04-07",522,8691,26,91,20,1340,0,0
523,8246,43605,"2022-04-07",523,8691,26,91,20,36,0,0
524,8179,29507,"2022-04-07",524,8691,24,133,12,4,0,0
530,340,42664,"2022-04-07",530,8691,26,91,20,10,0,0
531,340,42664,"2022-04-07",531,8691,26,91,20,1252,0,0
540,8179,29507,"2022-04-07",540,8691,24,133,12,5,0,0
541,8179,29507,"2022-04-07",541,8691,24,133,12,3,0,0
544,340,42664,"2022-04-07",544,8691,26,91,20,1223,0,0
545,5939,44012,"2022-04-07",545,8691,24,133,4,4,0,0
546,5939,44012,"2022-04-07",546,8691,24,133,12,6,0,0
547,5939,44012,"2022-04-07",547,8691,24,133,12,6,0,0
548,5324,29488,"2022-04-07",548,8691,24,133,12,13,0,0
549,5939,44012,"2022-04-07",549,8691,24,133,12,5,0,0
550,5939,44012,"2022-04-07",550,8691,24,133,12,5,0,0
551,5939,44012,"2022-04-07",551,8691,24,133,12,3,0,0
557,340,42664,"2022-04-07",557,8691,26,91,25,1816,0,0
562,2845,28968,"2022-04-07",562,8691,24,133,12,7,0,0
563,2845,28968,"2022-04-07",563,8691,24,133,8,68,0,0
564,2845,28968,"2022-04-07",564,8691,24,133,8,5,0,0
565,2845,28968,"2022-04-07",565,8691,24,133,12,4,0,0
566,2845,28968,"2022-04-07",566,8691,24,133,12,4,0,0
567,2845,28968,"2022-04-07",567,8691,24,133,12,4,0,0
568,2845,28968,"2022-04-07",568,8691,24,133,12,4,0,0
575,340,42664,"2022-04-07",575,8691,26,91,20,1247,0,0
577,2845,28968,"2022-04-07",577,8691,24,133,12,5,0,0
581,340,42664,"2022-04-07",581,8691,26,91,20,1291,57,0
582,340,42664,"2022-04-07",582,8691,26,91,20,972,0,0
